WingAlgorithmTimestamp,servo1Angle,servo2Angle,targetAngle,targetX,targetY
404044380,120,120,-9.21981e-23,7.75028e+27,-714561
404144376,120,120,-9.21981e-23,7.75028e+27,-714561
404244376,120,120,-9.21981e-23,7.75028e+27,-714561
404344376,120,120,-9.21981e-23,7.75028e+27,-714561
404444380,120,120,-9.21981e-23,7.75028e+27,-714561
404544380,120,120,-9.21981e-23,7.75028e+27,-714561
404644380,120,120,-9.21981e-23,7.75028e+27,-714561
404744380,120,120,-9.21981e-23,7.75028e+27,-714561
404844380,120,120,-9.21981e-23,7.75028e+27,-714561
404944380,120,120,-9.21981e-23,7.75028e+27,-714561
405044380,120,120,-9.21981e-23,7.75028e+27,-714561
405144384,120,120,-9.21981e-23,7.75028e+27,-714561
405244384,120,120,-9.21981e-23,7.75028e+27,-714561
405344384,120,120,-9.21981e-23,7.75028e+27,-714561
405444384,120,120,-9.21981e-23,7.75028e+27,-714561
405544392,120,120,-9.21981e-23,7.75028e+27,-714561
405644384,120,120,-9.21981e-23,7.75028e+27,-714561
405744976,120,120,-9.21981e-23,7.75028e+27,-714561
405844388,120,120,-9.21981e-23,7.75028e+27,-714561
405944392,120,120,-9.21981e-23,7.75028e+27,-714561
406044388,120,120,-9.21981e-23,7.75028e+27,-714561
406144388,120,120,-9.21981e-23,7.75028e+27,-714561
406244396,120,120,-9.21981e-23,7.75028e+27,-714561
406344388,120,120,-9.21981e-23,7.75028e+27,-714561
406444392,120,120,-9.21981e-23,7.75028e+27,-714561
406544392,120,120,-9.21981e-23,7.75028e+27,-714561
406644392,120,120,-9.21981e-23,7.75028e+27,-714561
406744392,120,120,-9.21981e-23,7.75028e+27,-714561
406844392,120,120,-9.21981e-23,7.75028e+27,-714561
406944400,120,120,-9.21981e-23,7.75028e+27,-714561
407044392,120,120,-9.21981e-23,7.75028e+27,-714561
407144392,120,120,-9.21981e-23,7.75028e+27,-714561
407244396,120,120,-9.21981e-23,7.75028e+27,-714561
407344396,120,120,-9.21981e-23,7.75028e+27,-714561
407444396,120,120,-9.21981e-23,7.75028e+27,-714561
407544396,120,120,-9.21981e-23,7.75028e+27,-714561
407644396,120,120,-9.21981e-23,7.75028e+27,-714561
407744396,120,120,-9.21981e-23,7.75028e+27,-714561
407844400,120,120,-9.21981e-23,7.75028e+27,-714561
407944400,120,120,-9.21981e-23,7.75028e+27,-714561
408044400,120,120,-9.21981e-23,7.75028e+27,-714561
408144400,120,120,-9.21981e-23,7.75028e+27,-714561
408244400,120,120,-9.21981e-23,7.75028e+27,-714561
408344400,120,120,-9.21981e-23,7.75028e+27,-714561
408444400,120,120,-9.21981e-23,7.75028e+27,-714561
408544408,120,120,-9.21981e-23,7.75028e+27,-714561
408644404,120,120,-9.21981e-23,7.75028e+27,-714561
408744404,120,120,-9.21981e-23,7.75028e+27,-714561
408844996,120,120,-9.21981e-23,7.75028e+27,-714561
408944404,120,120,-9.21981e-23,7.75028e+27,-714561
409044404,120,120,-9.21981e-23,7.75028e+27,-714561
409144408,120,120,-9.21981e-23,7.75028e+27,-714561
409244412,120,120,-9.21981e-23,7.75028e+27,-714561
409344408,120,120,-9.21981e-23,7.75028e+27,-714561
409444408,120,120,-9.21981e-23,7.75028e+27,-714561
409544408,120,120,-9.21981e-23,7.75028e+27,-714561
409644408,120,120,-9.21981e-23,7.75028e+27,-714561
409744408,120,120,-9.21981e-23,7.75028e+27,-714561
409844412,120,120,-9.21981e-23,7.75028e+27,-714561
409944412,120,120,-9.21981e-23,7.75028e+27,-714561
410044412,120,120,-9.21981e-23,7.75028e+27,-714561
410144412,120,120,-9.21981e-23,7.75028e+27,-714561
410244420,120,120,-9.21981e-23,7.75028e+27,-714561
410344416,120,120,-9.21981e-23,7.75028e+27,-714561
410444412,120,120,-9.21981e-23,7.75028e+27,-714561
410544416,120,120,-9.21981e-23,7.75028e+27,-714561
410644416,120,120,-9.21981e-23,7.75028e+27,-714561
410744420,120,120,-9.21981e-23,7.75028e+27,-714561
410844420,120,120,-9.21981e-23,7.75028e+27,-714561
410944416,120,120,-9.21981e-23,7.75028e+27,-714561
411044416,120,120,-9.21981e-23,7.75028e+27,-714561
411144416,120,120,-9.21981e-23,7.75028e+27,-714561
411244420,120,120,-9.21981e-23,7.75028e+27,-714561
411344424,120,120,-9.21981e-23,7.75028e+27,-714561
411444420,120,120,-9.21981e-23,7.75028e+27,-714561
411544420,120,120,-9.21981e-23,7.75028e+27,-714561
411644420,120,120,-9.21981e-23,7.75028e+27,-714561
411744424,120,120,-9.21981e-23,7.75028e+27,-714561
411844420,120,120,-9.21981e-23,7.75028e+27,-714561
411945016,120,120,-9.21981e-23,7.75028e+27,-714561
412044424,120,120,-9.21981e-23,7.75028e+27,-714561
412144424,120,120,-9.21981e-23,7.75028e+27,-714561
412244424,120,120,-9.21981e-23,7.75028e+27,-714561
412344424,120,120,-9.21981e-23,7.75028e+27,-714561
412444424,120,120,-9.21981e-23,7.75028e+27,-714561
412544428,120,120,-9.21981e-23,7.75028e+27,-714561
412644428,120,120,-9.21981e-23,7.75028e+27,-714561
412744428,120,120,-9.21981e-23,7.75028e+27,-714561
412844428,120,120,-9.21981e-23,7.75028e+27,-714561
412944432,120,120,-9.21981e-23,7.75028e+27,-714561
413044432,120,120,-9.21981e-23,7.75028e+27,-714561
413144436,120,120,-9.21981e-23,7.75028e+27,-714561
413244432,120,120,-9.21981e-23,7.75028e+27,-714561
413344432,120,120,-9.21981e-23,7.75028e+27,-714561
413444432,120,120,-9.21981e-23,7.75028e+27,-714561
413544432,120,120,-9.21981e-23,7.75028e+27,-714561
413644432,120,120,-9.21981e-23,7.75028e+27,-714561
413744432,120,120,-9.21981e-23,7.75028e+27,-714561
413844432,120,120,-9.21981e-23,7.75028e+27,-714561
413944436,120,120,-9.21981e-23,7.75028e+27,-714561
414044436,120,120,-9.21981e-23,7.75028e+27,-714561
414144436,120,120,-9.21981e-23,7.75028e+27,-714561
414244436,120,120,-9.21981e-23,7.75028e+27,-714561
414344436,120,120,-9.21981e-23,7.75028e+27,-714561
414444436,120,120,-9.21981e-23,7.75028e+27,-714561
414544436,120,120,-9.21981e-23,7.75028e+27,-714561
414644444,120,120,-9.21981e-23,7.75028e+27,-714561
414744444,120,120,-9.21981e-23,7.75028e+27,-714561
414844448,120,120,-9.21981e-23,7.75028e+27,-714561
414944440,120,120,-9.21981e-23,7.75028e+27,-714561
415045032,120,120,-9.21981e-23,7.75028e+27,-714561
415144444,120,120,-9.21981e-23,7.75028e+27,-714561
415244444,120,120,-9.21981e-23,7.75028e+27,-714561
415344444,120,120,-9.21981e-23,7.75028e+27,-714561
415444444,120,120,-9.21981e-23,7.75028e+27,-714561
415544444,120,120,-9.21981e-23,7.75028e+27,-714561
415644444,120,120,-9.21981e-23,7.75028e+27,-714561
415744444,120,120,-9.21981e-23,7.75028e+27,-714561
415844448,120,120,-9.21981e-23,7.75028e+27,-714561
415944448,120,120,-9.21981e-23,7.75028e+27,-714561
416044448,120,120,-9.21981e-23,7.75028e+27,-714561
416144448,120,120,-9.21981e-23,7.75028e+27,-714561
416244456,120,120,-9.21981e-23,7.75028e+27,-714561
416344452,120,120,-9.21981e-23,7.75028e+27,-714561
416444452,120,120,-9.21981e-23,7.75028e+27,-714561
416544452,120,120,-9.21981e-23,7.75028e+27,-714561
416644456,120,120,-9.21981e-23,7.75028e+27,-714561
416744456,120,120,-9.21981e-23,7.75028e+27,-714561
416844452,120,120,-9.21981e-23,7.75028e+27,-714561
416944452,120,120,-9.21981e-23,7.75028e+27,-714561
417044452,120,120,-9.21981e-23,7.75028e+27,-714561
417144456,120,120,-9.21981e-23,7.75028e+27,-714561
417244452,120,120,-9.21981e-23,7.75028e+27,-714561
417344456,120,120,-9.21981e-23,7.75028e+27,-714561
417444456,120,120,-9.21981e-23,7.75028e+27,-714561
417544456,120,120,-9.21981e-23,7.75028e+27,-714561
417644456,120,120,-9.21981e-23,7.75028e+27,-714561
417744460,120,120,-9.21981e-23,7.75028e+27,-714561
417844460,120,120,-9.21981e-23,7.75028e+27,-714561
417944460,120,120,-9.21981e-23,7.75028e+27,-714561
418044460,120,120,-9.21981e-23,7.75028e+27,-714561
418145052,120,120,-9.21981e-23,7.75028e+27,-714561
418244460,120,120,-9.21981e-23,7.75028e+27,-714561
418344460,120,120,-9.21981e-23,7.75028e+27,-714561
418444460,120,120,-9.21981e-23,7.75028e+27,-714561
418544468,120,120,-9.21981e-23,7.75028e+27,-714561
418644464,120,120,-9.21981e-23,7.75028e+27,-714561
418744464,120,120,-9.21981e-23,7.75028e+27,-714561
418844468,120,120,-9.21981e-23,7.75028e+27,-714561
418944464,120,120,-9.21981e-23,7.75028e+27,-714561
419044464,120,120,-9.21981e-23,7.75028e+27,-714561
419144464,120,120,-9.21981e-23,7.75028e+27,-714561
419244464,120,120,-9.21981e-23,7.75028e+27,-714561
419344468,120,120,-9.21981e-23,7.75028e+27,-714561
419444468,120,120,-9.21981e-23,7.75028e+27,-714561
419544476,120,120,-9.21981e-23,7.75028e+27,-714561
419644468,120,120,-9.21981e-23,7.75028e+27,-714561
419744468,120,120,-9.21981e-23,7.75028e+27,-714561
419844468,120,120,-9.21981e-23,7.75028e+27,-714561
419944472,120,120,-9.21981e-23,7.75028e+27,-714561
420044472,120,120,-9.21981e-23,7.75028e+27,-714561
420144476,120,120,-9.21981e-23,7.75028e+27,-714561
420244476,120,120,-9.21981e-23,7.75028e+27,-714561
420344472,120,120,-9.21981e-23,7.75028e+27,-714561
420444472,120,120,-9.21981e-23,7.75028e+27,-714561
420544472,120,120,-9.21981e-23,7.75028e+27,-714561
420644476,120,120,-9.21981e-23,7.75028e+27,-714561
420744476,120,120,-9.21981e-23,7.75028e+27,-714561
420844476,120,120,-9.21981e-23,7.75028e+27,-714561
420944476,120,120,-9.21981e-23,7.75028e+27,-714561
421044476,120,120,-9.21981e-23,7.75028e+27,-714561
421144476,120,120,-9.21981e-23,7.75028e+27,-714561
421245072,120,120,-9.21981e-23,7.75028e+27,-714561
421344480,120,120,-9.21981e-23,7.75028e+27,-714561
421444480,120,120,-9.21981e-23,7.75028e+27,-714561
421544480,120,120,-9.21981e-23,7.75028e+27,-714561
421644480,120,120,-9.21981e-23,7.75028e+27,-714561
421744480,120,120,-9.21981e-23,7.75028e+27,-714561
421844480,120,120,-9.21981e-23,7.75028e+27,-714561
421944484,120,120,-9.21981e-23,7.75028e+27,-714561
422044484,120,120,-9.21981e-23,7.75028e+27,-714561
422144484,120,120,-9.21981e-23,7.75028e+27,-714561
422244484,120,120,-9.21981e-23,7.75028e+27,-714561
422344492,120,120,-9.21981e-23,7.75028e+27,-714561
422444488,120,120,-9.21981e-23,7.75028e+27,-714561
422544484,120,120,-9.21981e-23,7.75028e+27,-714561
422644484,120,120,-9.21981e-23,7.75028e+27,-714561
422744488,120,120,-9.21981e-23,7.75028e+27,-714561
422844488,120,120,-9.21981e-23,7.75028e+27,-714561
422944492,120,120,-9.21981e-23,7.75028e+27,-714561
423044488,120,120,-9.21981e-23,7.75028e+27,-714561
423144488,120,120,-9.21981e-23,7.75028e+27,-714561
423244488,120,120,-9.21981e-23,7.75028e+27,-714561
423344492,120,120,-9.21981e-23,7.75028e+27,-714561
423444492,120,120,-9.21981e-23,7.75028e+27,-714561
423544492,120,120,-9.21981e-23,7.75028e+27,-714561
423644492,120,120,-9.21981e-23,7.75028e+27,-714561
423744492,120,120,-9.21981e-23,7.75028e+27,-714561
423844492,120,120,-9.21981e-23,7.75028e+27,-714561
423944492,120,120,-9.21981e-23,7.75028e+27,-714561
424044496,120,120,-9.21981e-23,7.75028e+27,-714561
424144500,120,120,-9.21981e-23,7.75028e+27,-714561
424244496,120,120,-9.21981e-23,7.75028e+27,-714561
424345148,120,120,-9.21981e-23,7.75028e+27,-714561
424444496,120,120,-9.21981e-23,7.75028e+27,-714561
424544496,120,120,-9.21981e-23,7.75028e+27,-714561
424644500,120,120,-9.21981e-23,7.75028e+27,-714561
424744500,120,120,-9.21981e-23,7.75028e+27,-714561
424844500,120,120,-9.21981e-23,7.75028e+27,-714561
424944500,120,120,-9.21981e-23,7.75028e+27,-714561
425044500,120,120,-9.21981e-23,7.75028e+27,-714561
425144500,120,120,-9.21981e-23,7.75028e+27,-714561
425244500,120,120,-9.21981e-23,7.75028e+27,-714561
425344504,120,120,-9.21981e-23,7.75028e+27,-714561
425444508,120,120,-9.21981e-23,7.75028e+27,-714561
425544504,120,120,-9.21981e-23,7.75028e+27,-714561
425644504,120,120,-9.21981e-23,7.75028e+27,-714561
425744504,120,120,-9.21981e-23,7.75028e+27,-714561
425844504,120,120,-9.21981e-23,7.75028e+27,-714561
425944508,120,120,-9.21981e-23,7.75028e+27,-714561
426044508,120,120,-9.21981e-23,7.75028e+27,-714561
426144508,120,120,-9.21981e-23,7.75028e+27,-714561
426244508,120,120,-9.21981e-23,7.75028e+27,-714561
426344508,120,120,-9.21981e-23,7.75028e+27,-714561
426444508,120,120,-9.21981e-23,7.75028e+27,-714561
426544508,120,120,-9.21981e-23,7.75028e+27,-714561
